,id,screen_name,followers_count,name,friends_count
295,301203983,jahronamo,1231,陰徳,441
296,528,buzz,15239,Buzz Andersen,1502
297,325976593,ICOWHI,832,ICOWHI,2096
298,135397906,ChevyTooHeavy,958,Chevy ❤,1043
299,23331356,musicfrenzyent,729,MusicFrenzyErica,2124
300,70779420,melodyfoxahmed,2461,Melody Fox Ahmed,1282
301,73400860,orangevilleont,4628,Town of Orangeville,513
302,314704416,kacey_anne,984,к,427
303,34472489,MookMillions,652,Mook Million$,695
304,273678893,edgar11cruz,921,PRISM,51
305,394265137,Hollywood_TMZ,4061,Celebrity TMZ,4227
306,14287409,GobiernoUSA,187129,GobiernoUSA.gov,829
307,256115250,Berry_Bandz,14961,Beeyond Badd,514
308,264503861,AvalonEnchanted,976,Avalon Enchanted,1593
309,15729207,wunc,30701,WUNC,328
310,220201527,Kay_Pot25,714,Katey,775
311,551420476,Bigmoneyfeezie,230,bigmoneyfeezie,1288
312,392954430,FCAproductions,240,FCAproductions,1008
313,137757247,BCH_Innovation,5520,BCH Innovation News,2216
314,113377862,TracieL55,148,Tlc55,128
315,42992199,AlexandraWhite1,457,Alexandra White,548
316,521536072,CarlaPrime,51,Carlaaaa,358
317,24773190,ChrisPaulComedy,19701,A Tribe Called Chris,965
318,19923530,melissalyttle,13058,ǝlʇʇʎl ɐssılǝɯ,1553
319,274858570,staytolouis,9502,Who?,605
320,7733832,brucefp,969,Bruce Press,1212
321,173670989,simpson,1655,David Simpson,2929
322,377619023,josh_blair2,251,J Blair,242
323,334234193,lexie_gomez,564,Lexie,150
324,753533522,HeatReck,1603,Noam Katz,1221
325,90702417,MidHudsonRH,693,MidHudson Regional,81
326,25952851,R0bSkii,3496,Rob aka R0bSkii 🇭🇳,2090
327,405275215,kris_nabez,403,kris,333
328,212992600,flyoverangel,9828,Kelly,9448
329,20841040,LaurenReddy,1380,Lauren Reddy,1557
330,9831002,WayneNH,5411,Wayne Kurtzman,5185
331,86114906,patricecloutier,3625,Patrice Cloutier,1666
332,717357656,Beacon_CB_100,131,Beacon C Cookbook,200
333,609354340,RobertSzeluga,192,Robert Szeluga,326
334,203293285,Pieface2012,236,Larry McKinley .,1403
335,275251814,thesmboyce,19811,S. M. Boyce,62
336,50725480,Belinderini,511,B Nasty,947
337,509608553,CarpeDiemOrBust,267,Boris Nolasco,308
338,14979780,shmoosr,1371,Andrew Hobbs,637
339,900858480,scotbaseball7,839,Zayy™,89
340,14287474,adorama,113456,Adorama 📸,1291
341,163578487,bd_mclaughlin,4214,Brian McLaughlin,585
342,549061240,Officialcrew_1D,13773,σηε ∂ιяεcтιση ♔,6115
343,194773623,MR_WHY_NOT21,1447,Mr_Dunmore,947
344,390464122,SignedDread,1265,deleted,1151
345,633,zephoria,236289,danah boyd,1363
346,301204092,JaimeBerk,786,jaime,746
347,129499773,BoCo__,4239,BoCo,420
348,619577982,PeteDeCourcy,522,pete decourcy,921
349,718930560,nascar_4budman,352,Hollywood,247
350,19399298,McGillins,7475,McGillin's,3066
351,642,finneganswoke,3874,Fin Hopkins,910
352,256246404,DianaWynyard,220,Diana Wynyard,273
353,343540357,Queen_Onnna,791,american gal,527
354,18219655,amandamcgrath,237,Amanda McGrath,421
355,90309257,Patrick_Clarkin,2611,Patrick Clarkin,645
356,550896266,NotebkBlogairy,18211,TheNotebookBlogairy,18279
357,429523597,JasonGuay,3814,Jason Guay,230
358,18743950,leftyjenkins,524,leftyjenkins,202
359,34865808,allthesignals,99,APPLECARE FOR ALL,331
360,479068816,SatireWorks,1595,SatireWorks,1778
361,341705363,jtlightt,710,Justin Lightfoot,292
362,23986837,AnaMariaCanseco,220885,Ana Maria Canseco,1243
363,215351962,TMRSZZ,1570,Treeza Rohan Sz,2100
364,450888347,BryanPerezNFL,14327,Bryan Perez,298
365,171836059,ErikaLaMonaca,712,Erika,547
366,123601565,wardhowell3,1243,Ward Howell,2131
367,315622047,johnnydraino8,548,Billy The Kid,774
368,22545056,CTHURST25,452,THURSTON,449
369,30278307,EBBALiCiOUSZ,1394,Ebby,1477
370,86246052,frknbns,3951,cuggy,221
371,339139572,WallArtDecoUSA,1817,Wall Art Deco,2488
372,393609894,LivingTrees_NJ,9136,Living Trees,13756
373,188482215,DJ_BOE,364,667,485
374,17171111,amprog,82500,American Progress,1171
375,95683241,YoungMenaxe,797,Menace witta X 😈,314
376,681,Yarrow,1550,Yarrow Bucans,619
377,30933676,danielfmahoney,384,Daniel Mahoney,565
378,327156398,itsFrenchie2you,1015,Bro. Diuguid,1008
379,137495216,kwils21,355,Keith Wilson,1423
380,61866666,aretheynuts,12365,David Skehan,12674
381,386925238,RennyCriswell,229,HayesItsRenn,316
382,44434102,JoshuaMaxey,4692,Joshua Maxey,310
383,20841145,ErikaVsEveryone,997,E,778
384,313393850,EulaWatten,1783,Eula Watten,2297
385,19792571,SynergyBen,355,Synergy Ben Advisors,58
386,633471673,alexacarrino,1086,alexa,562
387,248513218,harley_annie,348,Annie Harley,252
388,473170627,browneyez641,252,Chi_Chi,518
389,807404228,you_is_fired,329,Hansin Shah,545
390,362283717,trevyry,264,Trevor Ryan,299
391,191103687,JCSayre19,244,JC Sayre,482
392,16515783,VolunteerHoward,3256,Volunteer Howard,2489
393,158991046,AlyssaFro,287,Alyssa Fronimo,689
394,185467586,RebeccaZappala,147,R Z,1111
395,275251915,CuddlesnWalks,571,Cuddles n' Walks,880
396,587465420,PinkTrixxi,672,Hell on Heels,641
397,23069393,Holiday_Inn,1166,Holiday Inn Historic,1815
398,495452882,_socutebutler,72,I am Crystaj,135
399,1049301,heathershae,731,jellybean jones,453
400,14287573,mikerass,12797,Michael Rass,7355
401,105906903,indagirl,1916,*Krazey Pink*,2171
402,232784599,jackie_capucino,734,Juicy J,847
403,27394777,GETITGIRLPROMO,2651,BREIGH MARQUISETTE,640
404,33293018,ConPow14,246,Conor Power,651
405,471990997,The_Burkanator,508,Zach Burke,421
406,244974301,MayorBigLiL,97,Khalil,213
407,11666142,joshuatopolsky,160425,Joshua Topolsky,755
408,34603742,ForzaEnjay,4232,🗽⚖🌊 Ken Ghazi Leftist Mobb 🦃🌳💨,3004
409,593363681,AC_Lee3,3826,キング  Arthur ✍🏾,659
410,5767912,AndrewCPark,881,Andrew Park,2099
411,3015401,jlove1982,2324,John Lovett,1342
412,30409451,STEVENDANN,3605,S T E V E N  D A N N,798
413,22151916,GeorgeColli,7098,George Colli,2815
414,225968872,blahharry187,7710,Cody Simpson,227
415,283640557,timothy_stanley,43344,Tim Stanley,730
416,318505705,EStackhouse6,383,Erica Stackhouse,260
417,173540081,theylovekendrea,3588,K E N💋,1312
418,37356274,SPYDER0416,102,Andrew Stanikopito,1456
419,57672429,eb_reece,467,EB Cole,233
420,453772018,Eh_yaaaaaaan,92,ayan,88
421,29777103,Altitude_Matt,443,Matt Formato IV,321
422,69206774,MYLIFEWICKED,893,IG@headtopic_ybg,1000
423,24380151,AJ_LoneStar,960,Allen Johnson,743
424,59638517,Cedric_Elleby10,867,SAVAGE,628
425,13107962,lyteforce,2542,Chris Golden,1039
426,53609210,KevinHana,4385,Kevin,11
427,71435004,rickst3r,317,Ricky,391
428,762,astroboy,3361,Robb M.,817
429,17433343,DigDugTrader,6875,🐾💔,4065
430,259916544,XOHelloKayKay,388,7,1732
431,284164868,BBCNrfkTravel,8865,BBC Norfolk Travel,1013
432,294912772,JessicaK_Bell,339,Jessica Bell,409
433,532808455,HopOffMy__,234,Juanita Mamie 🍍,294
434,322831114,frederickaaaa,1570,Freddy💙,1525
435,7340812,agreenberg,3936,Ari J. Greenberg,1192
436,29491980,BamaBelleinATL,2840,Bama•Belle,3514
437,25821967,BrianKeithEllis,3520,Brian Keith Ellis,4991
438,656143,rikcat,914,Rik Catlow,680
439,580518672,nednerbnotsaw,897,Brenden Watson,480
440,393741075,b_wiatrowski,1101,Brandon,846
441,19661589,Vonage,9049,Vonage,2799
442,430310165,xoxoemillie,604,em,147
443,166593303,CJCanton,182,Crager.j,1146
444,441451287,kaitlynndd,277,kaitlyn delaurier,823
445,14156567,jonwoods,5399,Jonathan D. Woods,2406
446,385745691,BullandFox,35538,Bull and Fox,437
447,51774236,protein_CT,633,CT,610
448,167510813,fungirlfanta,3776,Fanta Diasseny,554
449,406192926,jparcewski,214,Joan Parcewski,340
450,405406494,RUthless_prince,827,The DECYPHER,1187
451,54395682,_LyricallyYours,694,quincy wise,749
452,274727717,J3ff_And3rson,121,JefeOneTime,192
453,267125543,candaceconvo,1791,Candace Walker,650
454,37094186,JulitoFlo,137,Julio Flores,497
455,220463915,doctajeep,3294,doctor jeep,907
456,404882223,WheresCorn,873,Corn,731
457,332268342,GarrettJGrimes,2526,Garrett Grimes,4797
458,47448886,JeffreyGoldberg,206213,Jeffrey Goldberg,1610
459,10879802,dbrowell,3717,Dean Browell,4311
460,301597499,gaguilar84,176,Andrés G. Aguilar,541
461,104596283,mariajoyner,2634,Maria Joyner,2249
462,326763324,mtbkrdave,295,David Rea,75
463,162136892,danfrmn,187,Dan the man,243
464,15205183,davidnour,6869,David Nour,4009
465,18481984,Tuthilltown,6684,Tuthilltown,1066
466,37487423,Th3_Dream,1117,Young Rae Sinatra,580
467,17040194,Athena1955,679,Athena1955,1556
468,35128133,chadschroeder,124,Chad Schroeder,340
469,148374341,MDPublicSafety,3546,MD DPSCS,696
470,238027593,CoachBradley50,4927,Ben Bradley,366
471,18875211,Timothy_Boyle,866,Tim,1669
472,453378892,_kylin_,631,kail,1335
473,17564497,CHillPR,2117,CHillPR,619
474,849,largeheartedboy,32808,David Gutowski,2856
475,240124755,Slick2310_BBNG,1260,Slick Slidin B.B.N.G,1552
476,24249169,hitconsultant,19637,HIT Consultant Media,6136
477,27394898,AsadYR,1156,Asad,827
478,56755030,LeahRaeNY,666,Leah Rae,658
479,24642391,CookNTweet,665,BarakaFlockaFlame,1438
480,452592466,muffinlovinman,2801,RonRon,0
481,43909977,timpspillane,128,Tim Spillane,568
482,405930842,Est1994Bisshh,958,T❤,1316
483,19661657,jeffjedras,3455,Jeff Jedras,662
484,593232731,zaida_maxeen,409,zaida,1669
485,246023005,rckapellusch,1367,Ron Kapellusch,2037
486,861,jaygoldman,9141,Jay Goldman,2892
487,76153691,jamieskaqqs,596,#TeamJamie,81
488,591922013,ashleywilson_e,887,❃,72
489,54788962,shaketharealest,750,Duna,481
490,112460642,infosecstart,242,Summer,483
491,57541477,mattjrosenberg,766,Matt Rosenberg,913
492,9175912,MartyMcPadden,26244,Marty McPadden,12159
493,55837545,manda_boyce,724,amanda,490
494,111149930,Pendaflex,4225,Pendaflex,449
495,6947692,icunurseceleste,84,Celeste,166
496,19923821,Vidello,3429,Vidello Productions,310
497,55313263,BftExaminer,1511,Examiner,59
498,211551088,currentstate_tm,31285,CurrentState™,22005
499,23855983,rswift215,19278,R-Swift,703
500,74711922,G_Forbes7,655,Forbes Magazine,615
501,565052276,jon_diaz3,314,Paper Cha$in,219
502,10355572,queenoftheclick,31357,Queen of the Click👑🥳,28054
503,27132791,WoodNTap,3489,Wood-n-Tap,2065
504,363725690,_davepazik,477,Dave Pazik,309
505,57017212,WaltonCaps,29235,John Walton,973
506,520881022,DrNicoleKGrimes,713,Nicole K Grimes,2049
507,355599226,cochisemom,2869,Cochise's Mom,3303
508,34079611,al0elust,1296,frikit0na,823
509,9175942,CherieLampley,1253,Cherie Lampley,1677
510,38667143,MarkPancratz,5913,Mark Pancratz,549
511,54920072,RdgTerminalMkt,31852,Reading Terminal,643
512,329778055,Fibarra813,1111,Fibarra,2191
513,45613963,GiveEmHellKeith,886,Willie Beamen,680
514,80085904,KatePloJo,1440,Kate Plourd Johnson,2398
515,913,alba,9510,Eric Alba,6484
516,17302417,BosGuy,4446,BosGuy,470
517,22283155,TOMBS666,6058,TOMBS,536
518,355074966,Jaclyn_Collins,193,Jackie Collins,564
